Socket0 STAPM Limit,Socket0 STAPM Power,Socket0 PPT Fast Limit,Socket0 PPT Slow Limit,Gfx Effective Frequency,Socket0 VDDCR Soc Power,Socket0 VDDCR Soc Temperature,Socket0 Socket Power,Thread0 Core Effective Frequency,Thread1 Core Effective Frequency,Thread2 Core Effective Frequency,Thread3 Core Effective Frequency,Thread4 Core Effective Frequency,Thread5 Core Effective Frequency,Thread6 Core Effective Frequency,Thread7 Core Effective Frequency,Socket0 Package Power,Core0 Power,Core1 Power,Core2 Power,Core3 Power,Socket0 Temperature,
25,10.0675,35,30,199.488,3.82233,56.2841,22.2337,2936.16,3048.36,3085.15,3123.89,2942.59,2971.86,2952.43,2928.8,9.95285,1.27563,1.61636,1.19186,1.23199,57.25,
25,10.0725,35,30,162.865,3.84226,57.2311,22.0269,3251.46,3266.52,3205.23,3210.21,3043.27,3130.38,2652.32,2681.86,9.68689,1.49643,1.37817,1.27029,0.845032,57.375,
25,10.0782,35,30,157.651,3.76614,57.8636,22.8371,3274.59,3277.48,3150.18,3235.95,3212.19,3010.89,2613.23,2734.88,10.043,1.53839,1.74042,1.49628,0.844421,57.75,
25,10.0808,35,30,155.593,3.82241,57.5037,22.1734,3011.63,2988.28,3119.42,3100.57,3060.14,2962.72,2955.81,2983.6,9.89914,1.26266,1.58447,1.54694,1.10489,57.875,
25,10.086,35,30,201.335,4.02951,57.5597,22.0549,3000.93,2965.99,2920.45,2976.92,3013.18,3040.03,3071.73,3027.62,9.84604,1.31454,1.33118,1.31439,1.2645,58.25,
25,10.091,35,30,203.506,3.85676,57.4205,22.0065,2871.53,2911.48,3140.07,3134.24,2924,3006.72,3005.68,3040.02,9.67743,1.0968,1.58752,1.04935,1.20819,58.375,
25,10.0938,35,30,192.446,3.90454,58.0746,24.4597,3059.59,3116.09,2980.72,3034.48,2997.75,3015.87,3200.67,3169.74,10.9201,1.62994,1.48041,1.37253,1.78635,58.625,
25,10.1004,35,30,207.562,4.01344,58.6418,21.8521,2898.06,2929.42,3237.7,3222.34,2975.66,2990.6,3051.74,3000.15,9.75647,1.13617,1.58478,1.12747,1.38977,58.875,
25,10.1044,35,30,338.161,3.29532,56.3182,12.474,2865.56,2816.42,2286.21,2299.28,2084.28,2073.99,3288.33,3078.93,5.59906,0.357208,0.270691,0.115662,0.572357,59,
25,10.1046,35,30,252.743,3.4556,54.7463,11.8433,2715.64,2701.06,2791.67,2790.67,2824.39,2839.96,2687.49,2702.84,5.28442,0.103149,0.254822,0.530853,0.112457,58.75,
