
Socket0 STAPM Limit,Socket0 STAPM Power,Socket0 PPT Fast Limit,Socket0 PPT Slow Limit,Gfx Effective Frequency,Socket0 VDDCR Soc Power,Socket0 VDDCR Soc Temperature,Socket0 Socket Power,Thread0 Core Effective Frequency,Thread1 Core Effective Frequency,Thread2 Core Effective Frequency,Thread3 Core Effective Frequency,Thread4 Core Effective Frequency,Thread5 Core Effective Frequency,Thread6 Core Effective Frequency,Thread7 Core Effective Frequency,Socket0 Package Power,Core0 Power,Core1 Power,Core2 Power,Core3 Power,Socket0 Temperature,
25,9.3126,35,30,197.144,3.61934,52.7045,19.4205,2445.35,2466.53,3343.06,3381.53,2228.09,2233.75,2614.65,2566.56,8.53989,0.638428,1.85104,0.450592,0.77301,57.5,
25,9.31722,35,30,196.648,4.05629,53.2724,21.1963,2210.06,2265.49,3198.09,3255.62,2816.99,2435,3158.87,2966.46,9.34555,0.448151,1.26923,1.13129,1.56891,57.375,
25,9.31969,35,30,124.395,3.91657,53.2349,21.4602,1746.7,1718.18,2838.84,3320.17,3118.78,2608.14,3180.29,2642.88,9.55429,0.175629,1.58676,1.35101,1.35132,57.375,
25,9.32441,35,30,160.957,3.54747,53.9366,19.9731,2239.88,2338.2,2737.4,3123.33,2653.55,2577.98,3033.49,3043.29,8.82774,1.32661,1.00753,0.779558,1.18037,57.375,
25,9.32867,35,30,204.034,3.48885,53.9205,19.1273,2772.61,2632.27,3288.34,3025.09,2566.62,2661.8,2229.27,2326.82,8.41095,0.920868,1.77734,0.70282,0.535889,57.125,
25,9.33132,35,30,202.89,3.57603,54.7276,21.7017,3127.7,3087.05,2953.6,3113.72,2904.63,2889.73,3113.56,2980.4,9.68781,1.37711,1.21887,1.0965,1.51596,57.125,
25,9.33703,35,30,200.055,3.83848,55.8918,24.2602,3067.7,3100.87,3150.72,3155.11,3104.54,3123.17,3125.69,3146.07,10.831,1.54114,1.77185,1.42807,1.604,57.125,
25,9.34134,35,30,220.385,3.61888,54.1194,16.5055,2944.71,2877.83,2625.91,2580.74,2579.45,3282.6,2049.24,2197.77,7.3674,0.865326,0.724487,1.02875,0.297089,57,
25,9.3421,35,30,363.046,3.27074,52.3097,11.1872,2746.96,2709.73,2593.42,2936.14,2034.41,2168.74,2127.43,2157.02,4.93622,0.182037,0.721283,0.0286865,0.0723267,56.75,
25,9.34303,35,30,368.609,3.05345,51.1791,10.151,2528.25,2343.13,2724.65,2554.32,2889.86,2772.2,2446.77,2490.31,4.52866,0.0302124,0.0753784,0.59433,0.0109863,56.5,
25,9.343,35,30,131.904,2.86349,50.9129,10.846,2722.82,2819.63,2798.72,2886.14,2673.11,2623.31,2672.71,2764.87,4.76761,0.18158,0.600281,0.0575256,0.119629,56.375,
25,9.34404,35,30,245.692,3.18256,51.2197,12.407,2150.23,2249.23,2109.62,1988.33,3320.56,3058.99,2106.06,2056.47,5.45441,0.065918,0.147552,0.962067,0.109711,56.125,
25,9.34435,35,30,315.367,3.11105,50.6866,11.3026,2492.27,2672.12,2771.74,2569.2,2867.58,2692.33,2691.33,2487.73,5.04364,0.0344849,0.170898,0.554962,0.065155,56,
25,9.34567,35,30,398.78,3.36766,51.4366,14.6093,2742.01,2821.67,2721.83,2797.53,2897.93,2896.49,2759.96,2848.46,6.52069,0.631104,0.588379,0.532074,0.701752,55.625,
25,9.34736,35,30,390.753,2.98982,51.4552,11.1655,2894.33,2749.47,2389.21,2536.29,2452.51,2577.78,2637.18,2670.81,4.98245,0.419464,0.152435,0.180206,0.432281,55.375,
25,9.34752,35,30,290.378,3.19246,50.7687,11.5584,2722.15,2732.29,2749.6,2638.18,2856.8,2876.55,2715.55,2767.13,5.08392,0.131836,0.149841,0.684357,0.141907,55.125,
25,9.34894,35,30,373.898,3.48036,51.1269,13.3451,2802.07,2812.16,2793.68,2872.01,2813.53,2811.12,2732.63,2769.94,5.95581,0.37674,0.591888,0.304871,0.182343,54.875,
25,9.3496,35,30,383.751,3.2975,51.053,12.8239,2748.98,2649.79,2765.81,2643.22,2714.79,2583.72,2848.75,2774.22,5.63828,0.161438,0.249023,0.120697,0.581055,54.75,
