Socket0 STAPM Limit,Socket0 STAPM Power,Socket0 PPT Fast Limit,Socket0 PPT Slow Limit,Gfx Effective Frequency,Socket0 VDDCR Soc Power,Socket0 VDDCR Soc Temperature,Socket0 Socket Power,Thread0 Core Effective Frequency,Thread1 Core Effective Frequency,Thread2 Core Effective Frequency,Thread3 Core Effective Frequency,Thread4 Core Effective Frequency,Thread5 Core Effective Frequency,Thread6 Core Effective Frequency,Thread7 Core Effective Frequency,Socket0 Package Power,Core0 Power,Core1 Power,Core2 Power,Core3 Power,Socket0 Temperature,
28,9.67858,28,28,214.501,3.88939,63.9811,21.2437,2472.6,2124.24,3374.27,3393.16,2629.11,2266.21,2549.88,2495.57,9.46884,0.523834,1.89682,0.870972,0.865936,67.375,
28,9.6814,28,28,158.801,4.23304,63.4366,24.0649,1925.75,1850.53,3431.85,3513.53,2447.7,2160.67,3056.74,2543,10.5717,0.353241,2.42752,0.649567,1.65359,67.375,
28,9.68528,28,28,152.585,4.45485,64.7765,29.3048,2237.07,2250.94,3484.24,3526.2,2806.75,2875.26,2775.41,2751.9,13.0611,1.00769,2.16248,2.39502,1.69571,67.625,
28,9.68868,28,28,74.6039,3.84562,66.694,21.5582,2545.77,3445.18,1994.55,1902.02,2651.29,2018.21,3165.6,2110.93,9.43532,2.72758,0.160068,0.452977,0.704298,67.75,
28,9.69064,28,28,189.914,3.86526,64.8022,16.1038,2639.33,3386.36,2418.74,2380.51,2521.41,2126.98,2604.36,2929.12,7.18811,0.797424,0.437469,0.297546,0.823212,67.75,
28,9.69203,28,28,238.734,3.92382,63.053,17.4178,2505.59,2562.28,2842.78,2925.27,2645.47,2592.23,2671.79,2902.52,7.65884,0.219879,0.826416,0.79361,0.610504,67.5,
28,9.69427,28,28,286.145,3.95274,63.0597,21.5611,2042.8,1863.45,2986.18,2482.17,2047.18,2123.5,3219.9,3033.06,9.62509,0.284271,1.87607,0.696259,1.46088,67.5,
28,9.69634,28,28,317.051,3.8724,62.4776,14.3932,1839.03,1751.51,2929.2,2349.18,2030.31,2043.76,1905.92,2308.89,6.35681,0.102997,1.23138,0.349426,0.249481,67.5,
28,9.69688,28,28,209.714,3.94919,61.8902,11.4511,1563.29,1580.62,1700.71,1683.83,1539.23,1583.65,1538.49,1573.54,5.10086,0.266266,0.414124,0.260315,0.224457,67.25,
28,9.69731,28,28,162.496,4.00273,61.4664,11.6402,1599.57,1599.33,1598.34,1598.38,1598.85,1599.22,1588.75,1590.39,5.12207,0.280609,0.340576,0.365143,0.32608,67.125,
28,9.69757,28,28,131.644,4.05431,60.803,10.25,1557.98,1532.98,1386.68,1423.14,1592.07,1581.97,1585.7,1599.54,4.5784,0.122223,0.00549316,0.26062,0.389862,67,
28,9.69772,28,28,196.342,3.98666,60.7687,11.4298,1437.64,1444.51,1474.64,1456.81,1444.07,1450.52,1461.97,1458.41,5.10025,0.207977,0.37796,0.265656,0.293732,66.875,
28,9.69832,28,28,190.969,4.36242,60.7652,12.1171,1473.81,1454.17,1465.77,1457.57,1465.25,1456.26,1474.42,1459.06,5.32623,0.323029,0.322113,0.35202,0.328674,66.625,
28,9.69868,28,28,199.804,4.04379,60.5896,11.2543,1587.7,1596.9,1595.79,1598.29,1575.61,1588.14,1576.42,1588.56,5.02151,0.257111,0.306244,0.219269,0.267487,66.5,
28,9.69891,28,28,199.799,3.89482,60.0455,9.83889,1539.68,1570.91,1581.44,1592.54,1574.65,1553.76,1522.53,1529,4.3674,0.11945,0.153513,0.146577,0.059648,66.375,
28,9.69881,28,28,155.328,3.31311,59.3246,8.41637,1487.98,1511.91,1530.04,1487.75,1526.5,1502.76,1486.28,1573.63,3.75381,0.043335,0.0524902,0.0601196,0.0865173,66.25,
28,9.69836,28,28,251.896,2.65933,58.6288,7.81015,2128.09,2120.04,2050.52,1977.07,2291.87,2307.29,1983.8,2333.91,3.4314,0.0117493,0.0132751,0.0405884,0.00900269,66,
28,9.69833,28,28,313.623,3.45564,58.8599,10.8554,2574.05,2593.73,2694.28,2559.68,2686.03,2585.26,2619.99,2770.84,4.77112,0.0247192,0.0575256,0.0975037,0.0758362,65.875,
28,9.69842,28,28,314.521,3.43621,59.0746,12.534,2675.51,2653.94,2484.03,2331.83,2733.59,2791,2688.66,2738.44,5.5481,0.108337,0.00488281,0.270538,0.156708,65.625,
28,9.69853,28,28,227.211,2.73249,58.2917,8.75419,2463.54,2409.6,2780.94,2810.21,2558.3,2531.14,2465.47,2555.46,3.89175,0.00427246,0.300598,0.0219727,0.00686646,65.375,
28,9.69834,28,28,314.301,2.7279,58.1082,8.90883,2581.42,2350.5,2447.7,2412.47,2652.63,2550.72,2575.44,2597.26,3.97415,0.0366211,0.00396729,0.0424194,0.0302124,65.25,
28,9.69805,28,28,222.078,2.64789,57.9962,8.48921,2546.2,2441.88,2765.97,2485.38,2580.47,2628.01,2490.75,2594.22,3.73062,0.00656128,0.122528,0.0331116,0.0212097,65.125,
28,9.69802,28,28,314.295,2.95662,58.0597,9.84418,2466.73,2452.01,2784.37,2607.22,2742.56,2740.27,2480.37,2543.95,4.3924,0.00991821,0.111542,0.128326,0.0212097,65,
28,9.69771,28,28,256.845,2.37026,57.9015,7.31565,2494.51,2323.28,2547.05,2637.03,2556.45,2492.09,2407.48,2623.09,3.21335,0.00442505,0.0222778,0.0297546,0.00976563,64.75,
28,9.69753,28,28,314.281,3.17841,58.2575,11.0347,2712.92,2574.61,2449.39,2411.88,2664.65,2875.55,2691.3,2816.12,4.92371,0.0701904,0.00350952,0.342865,0.129547,64.625,
28,9.69756,28,28,229.294,2.68087,57.9849,8.31715,2344.6,2380.13,2754.11,2611.89,2368.61,2562.32,2330.83,2577.21,3.65494,0.0138855,0.105743,0.0233459,0.022583,64.5,
28,9.69738,28,28,252.159,2.99417,58.0075,9.34082,2482,2455.4,2562.64,2446.94,2623.63,2828.86,2616.9,2686.61,4.16718,0.00991821,0.020752,0.153656,0.040741,64.375,
28,9.6972,28,28,263.642,3.13181,57.9583,8.83685,2455.59,2413.08,2805.52,2544.12,2444.61,2443.59,2459.07,2607.09,3.88321,0.00488281,0.123596,0.00762939,0.0123596,64.125,
28,9.69706,28,28,376.899,2.74198,57.9254,8.99274,2554.52,2425.08,2581.42,2383.03,2710.91,2756.31,2561.64,2733.5,4.01169,0.0126648,0.017395,0.13504,0.0520325,64,
28,9.69671,28,28,239.771,2.32797,57.6866,7.29999,2400.5,2317.25,2679.31,2416.83,2368.14,2529.91,2433.52,2566.36,3.17856,0.00335693,0.0302124,0.0108337,0.00579834,63.875,
28,9.69646,28,28,386.62,2.94425,57.7083,9.87749,2605.22,2576.78,2591.23,2347.96,2749.81,2565.59,2427.73,2596.05,4.41849,0.035553,0.0228882,0.118713,0.0169373,63.75,
28,9.69635,28,28,302.416,2.67046,57.7127,8.2665,2583.72,2438.99,2731.47,2554.78,2523.22,2503.8,2771.45,2513.74,3.64441,0.00823975,0.0735474,0.0227356,0.0804138,63.5,
28,9.69601,28,28,345.429,2.6571,57.6742,8.93326,2636.01,2514.37,2732.1,2468.9,2565.52,2681.9,2545.33,2684.64,3.96774,0.0259399,0.0621033,0.0570679,0.0195313,63.375,
28,9.69589,28,28,303.123,2.68246,57.5224,8.56757,2469.18,2322.09,2681.42,2468.11,2431.43,2418.86,2477.41,2572.76,3.82156,0.0062561,0.0520325,0.00595093,0.0105286,63.25,
28,9.69555,28,28,325.861,2.61136,57.5114,8.50514,2553.94,2497.35,2610.84,2352,2723.58,2437.21,2573.08,2808.68,3.73688,0.0167847,0.0288391,0.0912476,0.0985718,63.125,
28,9.6952,28,28,303.367,2.54982,57.4627,8.19277,2417.14,2350.04,2584.89,2507.63,2550.67,2547.96,2415.15,2577.42,3.65356,0.00366211,0.0201416,0.0286865,0.0154114,62.875,
28,9.69499,28,28,301.154,2.78082,57.625,8.87603,2495.33,2481.52,2625.42,2449.61,2534.88,2615.19,2446.14,2778.7,3.90045,0.00854492,0.020752,0.0396729,0.0456238,62.75,
28,9.69472,28,28,366.114,2.84432,57.4701,8.30163,2388.49,2616.69,2742.81,2462.29,2587.13,2351.05,2447.34,2614.7,3.70255,0.00732422,0.10376,0.0302124,0.0163269,62.625,
28,9.69464,28,28,298.609,3.56214,57.7008,11.6026,2510.98,2566.89,2607.05,2350.47,2786.27,2750.3,2843,2722.36,5.10025,0.027771,0.0253296,0.187836,0.30899,62.5,
